country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,WisdomTree India Earnings Inc,WisdomTree India Earnings UCITS Inc,,wisdomtree-india-earnings-inc,1013320,IE00BDGSNK96,EPIQ,GBP,London,TRUE
united kingdom,WisdomTree US SmallCap Dividend EUR,WisdomTree US SmallCap Dividend UCITS,,wisdomtree-us-smallcap-divid?cid=1024342,1024342,IE00BQZJBT94,DESE,GBP,London,FALSE
united kingdom,WisdomTree India Quality Acc,WisdomTree India Quality UCITS Acc,,wisdomtree-india-quality-acc?cid=1013314,1013314,IE00BDGSNL04,EPIE,USD,London,FALSE
united kingdom,WisdomTree Japan Equity Hedged Acc,WisdomTree Japan Equity UCITS Hedged Acc,,wisdomtree-japan-equity-hedged-acc,1013280,IE00BYQCZD50,DXJA,USD,London,TRUE
united kingdom,WisdomTree Eurozone Quality Div,WisdomTree Eurozone Quality Dividend Growth UCITS,,wisdomtree-eurozone-quality-div,986859,IE00BZ56TQ67,EGRG,GBP,London,TRUE
united kingdom,WisdomTree Japan Equity UK,WisdomTree Japan Equity UCITS,,wisdomtree-japan-equity-uk,956301,IE00BVXC4854,DXJ,USD,London,TRUE
united kingdom,WisdomTree Germany Equity UCITS,WisdomTree Germany Equity UCITS,,wisdomtree-germany-equity-ucits,956290,IE00BVXBGY20,DXGP,GBP,London,TRUE
united kingdom,WisdomTree Europe Equity,WisdomTree Europe Equity UCITS Acc,,wisdomtree-europe-equity-l,1024543,IE00BYQCZX56,HEDF,USD,London,TRUE
united kingdom,Xtrackers II USD Emerging Markets Bond UCITS 2D,Xtrackers II USD Emerging Markets Bond UCITS 2D,,xtrackers-ii-usd-em-bnd-ucits-2d,1089545,LU0677077884,XUEM,USD,London,TRUE
united kingdom,db x-trackers US Dollar Cash,db x-trackers US Dollar Cash UCITS 1C,,db-x-trackers-us-dollar-cash,986955,LU0356591882,XUSD,USD,London,TRUE
united kingdom,Bitcoin Tracker EUR XBT Provider,XBT Provider AB Call Bitcoin 31Dec99,,bitcoin-tracker-eur-xbt-provider?cid=1057731,1057731,SE0007525332,0PTN,EUR,London,FALSE
